"sample","orig.ident","nCount_RNA","nFeature_RNA","Batch","Type","Tissue","Duration","Author","condition","group","dataset_dir","concentration_uM","auxin_compound","label","Concentration"
"treat_3_auxin_seedling_3h_shimada","treat",144781.035680359,22590,"auxin_seedling_3h_shimada","treat","seedling","3h","shimada","Auxin","treat","auxin_seedling_3h_shimada",1,"IAA","Auxin (IAA 1uM)",1
"control_1_auxin_root_4h_stepanova","control",144745.431466715,22590,"auxin_root_4h_stepanova","control","root","4h","stepanova","Control","control","auxin_root_4h_stepanova",1,"IAA","Auxin (IAA 1uM)",0
"control_2_auxin_root_4h_stepanova","control",144900.51460241,22590,"auxin_root_4h_stepanova","control","root","4h","stepanova","Control","control","auxin_root_4h_stepanova",1,"IAA","Auxin (IAA 1uM)",0
"treat_1_auxin_root_4h_stepanova","treat",144826.342266078,22590,"auxin_root_4h_stepanova","treat","root","4h","stepanova","Auxin","treat","auxin_root_4h_stepanova",1,"IAA","Auxin (IAA 1uM)",1
"treat_2_auxin_root_4h_stepanova","treat",144796.225628749,22590,"auxin_root_4h_stepanova","treat","root","4h","stepanova","Auxin","treat","auxin_root_4h_stepanova",1,"IAA","Auxin (IAA 1uM)",1
"control_1_auxin_root_2h_vanneste","control",144966.939261077,22590,"auxin_root_2h_vanneste","control","root","2h","vanneste","Control","control","auxin_root_2h_vanneste",10,"IAA","Auxin (IAA 10uM)",0
"control_2_auxin_root_2h_vanneste","control",144922.474082519,22590,"auxin_root_2h_vanneste","control","root","2h","vanneste","Control","control","auxin_root_2h_vanneste",10,"IAA","Auxin (IAA 10uM)",0
"treat_1_auxin_root_2h_vanneste","treat",144706.519274053,22590,"auxin_root_2h_vanneste","treat","root","2h","vanneste","Auxin","treat","auxin_root_2h_vanneste",10,"IAA","Auxin (IAA 10uM)",10
"treat_2_auxin_root_2h_vanneste","treat",144721.611518547,22590,"auxin_root_2h_vanneste","treat","root","2h","vanneste","Auxin","treat","auxin_root_2h_vanneste",10,"IAA","Auxin (IAA 10uM)",10
"control_1_auxin_root_6h_vanneste","control",145026.156491784,22590,"auxin_root_6h_vanneste","control","root","6h","vanneste","Control","control","auxin_root_6h_vanneste",10,"IAA","Auxin (IAA 10uM)",0
"control_2_auxin_root_6h_vanneste","control",145031.752703641,22590,"auxin_root_6h_vanneste","control","root","6h","vanneste","Control","control","auxin_root_6h_vanneste",10,"IAA","Auxin (IAA 10uM)",0
"treat_1_auxin_root_6h_vanneste","treat",144524.822905649,22590,"auxin_root_6h_vanneste","treat","root","6h","vanneste","Auxin","treat","auxin_root_6h_vanneste",10,"IAA","Auxin (IAA 10uM)",10
"treat_2_auxin_root_6h_vanneste","treat",144628.818837339,22590,"auxin_root_6h_vanneste","treat","root","6h","vanneste","Auxin","treat","auxin_root_6h_vanneste",10,"IAA","Auxin (IAA 10uM)",10
"control_1_auxin_root-apex_6h_xuan","control",144924.81239729,22590,"auxin_root-apex_6h_xuan","control","root-apex","6h","xuan","Control","control","auxin_root-apex_6h_xuan",10,"IBA","Auxin (IBA 10uM)",0
"control_2_auxin_root-apex_6h_xuan","control",144926.036288684,22590,"auxin_root-apex_6h_xuan","control","root-apex","6h","xuan","Control","control","auxin_root-apex_6h_xuan",10,"IBA","Auxin (IBA 10uM)",0
"control_3_auxin_root-apex_6h_xuan","control",144906.327627783,22590,"auxin_root-apex_6h_xuan","control","root-apex","6h","xuan","Control","control","auxin_root-apex_6h_xuan",10,"IBA","Auxin (IBA 10uM)",0
"treat_1_auxin_root-apex_6h_xuan","treat",144725.564784712,22590,"auxin_root-apex_6h_xuan","treat","root-apex","6h","xuan","Auxin","treat","auxin_root-apex_6h_xuan",10,"IBA","Auxin (IBA 10uM)",10
"treat_2_auxin_root-apex_6h_xuan","treat",144714.319614003,22590,"auxin_root-apex_6h_xuan","treat","root-apex","6h","xuan","Auxin","treat","auxin_root-apex_6h_xuan",10,"IBA","Auxin (IBA 10uM)",10
"treat_3_auxin_root-apex_6h_xuan","treat",144602.097876745,22590,"auxin_root-apex_6h_xuan","treat","root-apex","6h","xuan","Auxin","treat","auxin_root-apex_6h_xuan",10,"IBA","Auxin (IBA 10uM)",10
