"organ","tissue_simple","sensor","value"
"Silique 3 DPA","seed coat","Synthesis",0.0214841936174258
"Silique 3 DPA","unknown","ConjugationDeconjugation",0.0940501302310482
"Silique 3 DPA","unknown","IAA",0.224492592164254
"Silique 3 DPA","unknown","PAT",0.107154634195329
"Silique 3 DPA","unknown","Synthesis",0.0104918388713077
"Silique 3 DPA","xylem","ConjugationDeconjugation",0.0839172382044478
"Silique 3 DPA","xylem","IAA",0.229408761635677
"Silique 3 DPA","xylem","PAT",0.0800855632311493
"Silique 3 DPA","xylem","Synthesis",0.0131241838522805
"Silique 4 DPA","dividing cell","ConjugationDeconjugation",0.0928013102571257
"Silique 4 DPA","dividing cell","IAA",0.244421051903788
"Silique 4 DPA","dividing cell","PAT",0.075510828710682
"Silique 4 DPA","dividing cell","Synthesis",0.0157407204734435
"Silique 4 DPA","endosperm/embryo","ConjugationDeconjugation",0.112194244009562
"Silique 4 DPA","endosperm/embryo","IAA",0.214584777287074
"Silique 4 DPA","endosperm/embryo","PAT",0.0572886285041444
"Silique 4 DPA","endosperm/embryo","Synthesis",0.0345501430953288
"Silique 4 DPA","guard cell","ConjugationDeconjugation",0.10185715124285
"Silique 4 DPA","guard cell","IAA",0.237809179257908
"Silique 4 DPA","guard cell","PAT",0.0845926753070986
"Silique 4 DPA","guard cell","Synthesis",0.01068087575163
"Silique 4 DPA","male reproductive","ConjugationDeconjugation",0.101503768819435
"Silique 4 DPA","male reproductive","IAA",0.234115691752639
"Silique 4 DPA","male reproductive","PAT",0.0603911253256957
"Silique 4 DPA","male reproductive","Synthesis",0.0139064865523022
"Silique 4 DPA","mesocarp","ConjugationDeconjugation",0.11013980983654
"Silique 4 DPA","mesocarp","IAA",0.298320504530627
"Silique 4 DPA","mesocarp","PAT",0.0826789818851587
"Silique 4 DPA","mesocarp","Synthesis",0.0132808935909712
"Silique 4 DPA","phloem","ConjugationDeconjugation",0.125637230740589
"Silique 4 DPA","phloem","IAA",0.2667315670579
"Silique 4 DPA","phloem","PAT",0.099859382208888
"Silique 4 DPA","phloem","Synthesis",0.0184929731568242
"Silique 4 DPA","procambium","ConjugationDeconjugation",0.110480678846742
"Silique 4 DPA","procambium","IAA",0.304909926904958
"Silique 4 DPA","procambium","PAT",0.139037827809176
"Silique 4 DPA","procambium","Synthesis",0.0133944786446209
"Silique 4 DPA","seed coat","ConjugationDeconjugation",0.161337863975358
"Silique 4 DPA","seed coat","IAA",0.260320082733988
"Silique 4 DPA","seed coat","PAT",0.0770593110826448
"Silique 4 DPA","seed coat","Synthesis",0.021274900994533
"Silique 4 DPA","unknown","ConjugationDeconjugation",0.0992550698355613
"Silique 4 DPA","unknown","IAA",0.221357464568078
"Silique 4 DPA","unknown","PAT",0.0685224017598374
"Silique 4 DPA","unknown","Synthesis",0.019531057826596
"Silique 4 DPA","xylem","ConjugationDeconjugation",0.0943346449900343
"Silique 4 DPA","xylem","IAA",0.228855989460135
"Silique 4 DPA","xylem","PAT",0.0654441237350029
"Silique 4 DPA","xylem","Synthesis",0.0155340741677743
"Silique 5 DPA","dividing cell","ConjugationDeconjugation",0.0872706118559585
"Silique 5 DPA","dividing cell","IAA",0.0726754130214354
"Silique 5 DPA","dividing cell","PAT",0.038941505571459
"Silique 5 DPA","dividing cell","Synthesis",0.013023227014228
"Silique 5 DPA","endosperm/embryo","ConjugationDeconjugation",0.106126054940484
"Silique 5 DPA","endosperm/embryo","IAA",0.1074133165428
"Silique 5 DPA","endosperm/embryo","PAT",0.106656753518782
"Silique 5 DPA","endosperm/embryo","Synthesis",0.0565751179475028
"Silique 5 DPA","epidermis","ConjugationDeconjugation",0.0964316392808614
"Silique 5 DPA","epidermis","IAA",0.132049347712213
"Silique 5 DPA","epidermis","PAT",0.130016818913662
"Silique 5 DPA","epidermis","Synthesis",0.0383437320080433
"Silique 5 DPA","guard cell","ConjugationDeconjugation",0.114610566697287
"Silique 5 DPA","guard cell","IAA",0.168572652540714
"Silique 5 DPA","guard cell","PAT",0.104426753551811
"Silique 5 DPA","guard cell","Synthesis",0.0127752035175237
"Silique 5 DPA","male reproductive","ConjugationDeconjugation",0.116926057222718
"Silique 5 DPA","male reproductive","IAA",0.151198633458552
"Silique 5 DPA","male reproductive","PAT",0.0492265394970294
"Silique 5 DPA","male reproductive","Synthesis",0.0153686100900987
"Silique 5 DPA","phloem","ConjugationDeconjugation",0.126281281187487
"Silique 5 DPA","phloem","IAA",0.173558364547473
