"organ","tissue_simple","sensor","value"
"Silique 4 DPA","endosperm/embryo","Synthesis",0.0345501430953288
"Silique 4 DPA","guard cell","ConjugationDeconjugation",0.10185715124285
"Silique 4 DPA","guard cell","DR5-ARF3-up",0.0944460197118075
"Silique 4 DPA","guard cell","PAT",0.0845926753070986
"Silique 4 DPA","guard cell","Synthesis",0.01068087575163
"Silique 4 DPA","male reproductive","ConjugationDeconjugation",0.101503768819435
"Silique 4 DPA","male reproductive","DR5-ARF3-up",0.088228218191902
"Silique 4 DPA","male reproductive","PAT",0.0603911253256957
"Silique 4 DPA","male reproductive","Synthesis",0.0139064865523022
"Silique 4 DPA","mesocarp","ConjugationDeconjugation",0.11013980983654
"Silique 4 DPA","mesocarp","DR5-ARF3-up",0.0962548496585621
"Silique 4 DPA","mesocarp","PAT",0.0826789818851587
"Silique 4 DPA","mesocarp","Synthesis",0.0132808935909712
"Silique 4 DPA","phloem","ConjugationDeconjugation",0.125637230740589
"Silique 4 DPA","phloem","DR5-ARF3-up",0.103668895396512
"Silique 4 DPA","phloem","PAT",0.099859382208888
"Silique 4 DPA","phloem","Synthesis",0.0184929731568242
"Silique 4 DPA","procambium","ConjugationDeconjugation",0.110480678846742
"Silique 4 DPA","procambium","DR5-ARF3-up",0.104856732809043
"Silique 4 DPA","procambium","PAT",0.139037827809176
"Silique 4 DPA","procambium","Synthesis",0.0133944786446209
"Silique 4 DPA","seed coat","ConjugationDeconjugation",0.161337863975358
"Silique 4 DPA","seed coat","DR5-ARF3-up",0.098057431053776
"Silique 4 DPA","seed coat","PAT",0.0770593110826448
"Silique 4 DPA","seed coat","Synthesis",0.021274900994533
"Silique 4 DPA","unknown","ConjugationDeconjugation",0.0992550698355613
"Silique 4 DPA","unknown","DR5-ARF3-up",0.0905733712731241
"Silique 4 DPA","unknown","PAT",0.0685224017598374
"Silique 4 DPA","unknown","Synthesis",0.019531057826596
"Silique 4 DPA","xylem","ConjugationDeconjugation",0.0943346449900343
"Silique 4 DPA","xylem","DR5-ARF3-up",0.085667363366014
